Estimates of Monthly Retail and Food Services Sales by Kind of Business: 1997,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 1997,Feb. 1997,Mar. 1997,Apr. 1997,May 1997,Jun. 1997,Jul. 1997,Aug. 1997,Sep. 1997,Oct. 1997,Nov. 1997,Dec. 1997,TOTAL
4413,"Automotive parts, acc., and tire stores",4787,4807,4860,4856,4785,4890,4909,4952,4979,4915,4996,4818,
"442,443","Furniture, home furn, electronics, and appliance stores",11951,12217,12276,12424,12404,12474,12564,12687,12721,12726,12895,12949,
442,Furniture and home furnishings stores,5823,5847,5916,5968,6004,6034,6039,6146,6162,6154,6267,6290,
443,Electronics and appliance stores,6128,6370,6360,6456,6400,6440,6525,6541,6559,6572,6628,6659,
444,Building mat. and garden equip. and supplies dealers,15197,15561,15862,15709,15805,15918,15973,16027,16283,16232,16158,16356,
4441,Building mat. and supplies dealers,12895,13243,13422,13425,13450,13526,13537,13552,13776,13752,13660,13795,
445,Food and beverage stores,34049,33989,34156,34056,33978,33892,34106,34256,34281,34348,34230,34190,
4451,Grocery stores,31030,30991,31109,31065,30987,30804,31022,31160,31171,31225,31125,31063,
4453,"Beer, wine and liquor stores",1939,1939,1973,1962,1977,2039,2017,2009,2024,2056,2055,2055,
446,Health and personal care stores,9448,9649,9922,9578,9722,9916,9950,9989,10077,10058,10217,10201,
44611,Pharmacies and drug stores,7953,8084,8280,7997,8137,8231,8230,8270,8347,8326,8503,8509,
447,Gasoline stations,16938,16984,16969,16613,16367,16378,16396,16682,16757,16711,16638,16536,
448,Clothing and clothing access. stores,11513,11468,11623,11195,11413,11643,11735,11828,11845,11881,11936,12110,
4481,Clothing stores,8002,7924,8007,7791,7971,8125,8186,8331,8252,8316,8317,8446,
44811,Men's clothing stores,832,827,830,805,830,834,854,858,843,856,856,851,
44812,Women's clothing stores,2383,2389,2367,2272,2253,2300,2311,2339,2350,2319,2326,2336,
4482,Shoe stores,1757,1782,1845,1685,1766,1797,1798,1786,1795,1799,1812,1850,
44831,Jewelry stores,1628,1636,1630,1594,1551,1599,1625,1601,1680,1643,1683,1680,
451,"Sporting goods, hobby, musical instrument, and book stores",4748,4666,4698,4725,4763,4838,4786,4745,4827,4878,5015,4915,
452,General merchandise stores,27216,27262,27304,27179,27328,27433,27949,27939,27868,28155,28151,28008,
4521,Department stores,18138,18185,18238,18096,18194,18276,18529,18556,18446,18580,18652,18427,
4529,Other general merchandise stores,9078,9077,9066,9083,9134,9157,9420,9383,9422,9575,9499,9581,
