Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2016,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2016,Feb. 2016,Mar. 2016,Apr. 2016,May 2016,Jun. 2016,Jul. 2016,Aug. 2016,Sep. 2016,Oct. 2016,Nov. 2016,Dec. 2016,TOTAL,
44611,Pharmacies and drug stores,21899,22296,22259,22457,22335,22404,22425,22192,22219,21429,21564,21589,,
447,Gasoline stations,34498,32865,34202,35101,36033,37267,36807,36018,36963,37953,37578,39400,,
448,Clothing and clothing access. stores,21289,21962,21491,21407,21579,21673,21431,21787,21906,21696,21629,21951,,
4481,Clothing stores,15539,15911,15653,15600,15676,15844,15658,15956,16053,15869,15710,15985,,
44811,Men's clothing stores,769,788,776,760,777,787,766,779,769,757,766,774,,
44812,Women's clothing stores,3333,3411,3379,3316,3302,3319,3246,3379,3287,3217,3257,3232,,
4482,Shoe stores,3008,3198,3004,2987,3037,3064,3046,3081,3086,3052,3066,3098,,
44831,Jewelry stores,2527,2585,2565,2549,2614,2519,2486,2501,2521,2521,2601,2622,,
451,"Sporting goods, hobby, musical instrument, and book stores",7303,7296,7280,7213,7261,7562,7216,7039,7058,7084,6961,7075,,
452,General merchandise stores,56318,57185,56993,56917,56668,57085,56755,56858,56245,56762,56538,56446,,
4521,Department stores,13294,13280,13189,12948,12809,13054,12828,12870,12753,12637,12340,12349,,
4529,Other general merchandise stores,43024,43905,43804,43969,43859,44031,43927,43988,43492,44125,44198,44097,,
45291,Warehouse clubs and superstores,37250,38005,37934,38080,37967,38080,37970,38020,37556,38121,38208,38099,,
45299,All other gen. merchandise stores,5774,5900,5870,5889,5892,5951,5957,5968,5936,6004,5990,5998,,
453,Miscellaneous stores retailers,9786,9770,10009,10126,9996,10063,9997,9933,10196,10368,9962,10130,,
454,Nonstore retailers,43174,43388,43437,43975,44827,45364,45324,45586,45918,46508,46534,47605,,
4541,Electronic shopping and mail order houses,36858,37146,37478,37599,38250,38775,38872,39229,39518,39969,40237,40955,,
45431,Fuel dealers,2249,2234,1916,2265,2391,2396,2315,2300,2260,2383,2281,2553,,
722,Food services and drinking places,53045,54237,53919,54240,54300,54296,54330,54803,55366,55375,56346,55451,,
,,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,,
